2012-09-05 3:44;https://twitter.com/oslopolitiops/statuses/243298447506173952;Majorstua, klager på ...;Majorstua, klager på gatemusikant som spiller kun en sang. har pågått i flere mnd, politiet på stedet å anmoder om et bredere reportoir 
2012-09-01 5:44;https://twitter.com/oslopolitiops/statuses/241879097414930432;Mange som har parkert ulovlig ...;Mange som har parkert ulovlig i Kongsveien, sikkert for å se på flyshowet. Men nå kommer Trafikketaten. 
2012-09-08 4:11;https://twitter.com/oslopolitiops/statuses/244392607466270720;Det er veldig stille idag Men ...;Det er veldig stille idag Men musikanten på Majorstua har startet opp igjen En patrulje som bl.a kan litt om toradere, sjekker nå kvaliteten 
2012-09-21 18:49;https://twitter.com/oslopolitiops/statuses/249324399566663680;Mens vi holder på med alle ...;Mens vi holder på med alle disse alvorlige oppdragene får vi melding om tre løse hester ved Gaustad Finner du dem, fang dem og ring oss,Takk 
2012-09-21 17:09;https://twitter.com/oslopolitiops/statuses/249299247399325696;To berusede personer har satt ...;To berusede personer har satt seg på en gaffeltruck og kjører på ring 3 mot Radiumhospitalet 
2012-09-21 17:27;https://twitter.com/oslopolitiops/statuses/249303816082702338;Vi har funnet gaffeltrucken, ...;Vi har funnet gaffeltrucken, men ikke truckførerne. 
2012-09-21 19:04;https://twitter.com/oslopolitiops/statuses/249328220871213057;Nå kom det en politipatrulje ...;Nå kom det en politipatrulje til Gaustad. Men de hadde glemt lassoen så de får ikke fanget hestene. Står nå og ser på dem. 
2012-09-23 17:56;http://twitter.com/oslopolitiops/statuses/250036062792085504;Nå er hestene igjen løse ...;Nå er hestene igjen løse ved Gaustad. Denne gangen forsøker vi å bruke politiets sperrebånd, vi tror nemlig hestene vil respektere det. 
2012-08-28 18:56;http://twitter.com/oslopolitiops/status/240629048068407299;En person anmeldt for kjøring ...;En person anmeldt for kjøring i ruspåvirket tilstand uten førerkort etter melding om kollisjon mellom bil og Akershus festning. 
2012-08-27 19:09;http://twitter.com/oslopolitiops/status/240269798892773376;Vi har kontroll på en barbeint ...;Vi har kontroll på en barbeint person som marsjerte sammen med gardistene foran Slottet. Uvisst hva han gjør der En patrulje snakker med han 
2012-08-25 16:22;http://twitter.com/oslopolitiops/status/239503049532530688;Guttestreker i Ekebergveien ...;Guttestreker i Ekebergveien ved Nordseter skole. En båt er bært ut i veien. Guttene løp idet politiet kom til stedet. Søker nå etter dem. 
2012-08-25 16:40;http://twitter.com/oslopolitiops/status/239507559386603520;Politiet innhentet guttene ...;Politiet innhentet guttene som hadde plassert båten i Ekebergveien. 'Straffen' ble å bære båten ut av veien igjen. 
2012-08-25 8:18;http://twitter.com/oslopolitiops/status/239381349117616130;Noen har stjålet en gris på ...;Noen har stjålet en gris på Torshov. Grisen var klargjort for grilling. Gj.personene forsvant i en bil. Vi ser etter bilen....og grisen. 
